rho,mu,eta,kappa,topo,n_seeds,delta,p_boot,p_wil,bh,med_ok,het_seeds,conv_seeds,modal_lib,inversion
1,0.1,2,0.25,bridge,8,-0.1086,0.4232,0.1097,0,1,0,8,burn_then_protect,0
1,0.1,2,0.25,sbm,8,-0.2962,0,1.409e-11,1,1,0,8,burn_then_protect,0
1,0.1,2,0.5,bridge,8,0.1724,1,0.9996,0,0,0,2,burn_then_protect,0
1,0.1,2,0.5,sbm,8,-0.0332,0.9434,0.122,0,1,0,6,burn_then_protect,0
1,0.1,2,1.0,bridge,8,0.6633,1,1,0,0,0,0,burn_then_protect,0
1,0.1,2,1.0,sbm,8,0.3967,1,1,0,1,0,0,burn_then_protect,0
1,0.1,5,0.25,bridge,8,0.1116,1,0.9935,0,0,0,3,burn_then_protect,0
1,0.1,5,0.25,sbm,8,-0.1218,0.3021,0.006427,0,1,0,6,burn_then_protect,0
1,0.1,5,0.5,bridge,8,0.3729,1,1,0,0,0,0,burn_then_protect,0
1,0.1,5,0.5,sbm,8,0.1076,1,0.8664,0,1,0,3,burn_then_protect,0
1,0.1,5,1.0,bridge,8,0.7678,1,1,0,0,0,0,delay8,0
1,0.1,5,1.0,sbm,8,0.4876,1,1,0,0,0,0,burn_then_protect,0
1,0.1,8,0.25,bridge,8,0.2880,1,1,0,0,0,0,protect_only,0
1,0.1,8,0.25,sbm,8,-0.0286,0.9442,0.2185,0,1,0,6,protect_only,0
1,0.1,8,0.5,bridge,8,0.5408,1,1,0,0,0,0,burn_then_protect,0
1,0.1,8,0.5,sbm,8,0.2308,1,0.998,0,1,0,0,burn_then_protect,0
1,0.1,8,1.0,bridge,8,0.8608,1,1,0,0,0,0,delay8,0
1,0.1,8,1.0,sbm,8,0.5676,1,1,0,0,0,0,burn_then_protect,0
1,0.2,2,0.25,bridge,8,-0.1086,0.4232,0.1097,0,1,0,8,burn_then_protect,0
1,0.2,2,0.25,sbm,8,-0.2026,0.0044,6.808e-05,0,1,0,8,burn_then_protect,0
1,0.2,2,0.5,bridge,8,0.1724,1,0.9996,0,0,0,2,burn_then_protect,0
1,0.2,2,0.5,sbm,8,0.0791,1,0.7953,0,0,0,4,burn_then_protect,0
1,0.2,2,1.0,bridge,8,0.6633,1,1,0,0,0,0,burn_then_protect,0
1,0.2,2,1.0,sbm,8,0.5701,1,1,0,0,0,0,burn_then_protect,0
1,0.2,5,0.25,bridge,8,0.1116,1,0.9935,0,0,0,3,burn_then_protect,0
1,0.2,5,0.25,sbm,8,-0.0722,0.7424,0.09108,0,1,0,7,protect_only,0
1,0.2,5,0.5,bridge,8,0.3729,1,1,0,0,0,0,burn_then_protect,0
1,0.2,5,0.5,sbm,8,0.2037,1,0.9962,0,0,0,1,burn_then_protect,0
1,0.2,5,1.0,bridge,8,0.7678,1,1,0,0,0,0,delay8,0
1,0.2,5,1.0,sbm,8,0.6329,1,1,0,0,0,0,burn_then_protect,0
1,0.2,8,0.25,bridge,8,0.2880,1,1,0,0,0,0,protect_only,0
1,0.2,8,0.25,sbm,8,-0.0034,0.9783,0.4457,0,1,0,6,protect_only,0
1,0.2,8,0.5,bridge,8,0.5408,1,1,0,0,0,0,burn_then_protect,0
1,0.2,8,0.5,sbm,8,0.2831,1,0.9999,0,0,0,1,burn_then_protect,0
1,0.2,8,1.0,bridge,8,0.8608,1,1,0,0,0,0,delay8,0
1,0.2,8,1.0,sbm,8,0.6922,1,1,0,0,0,0,burn_then_protect,0
1,0.3,2,0.25,bridge,8,-0.1086,0.4232,0.1097,0,1,0,8,burn_then_protect,0
1,0.3,2,0.25,sbm,8,-0.1491,0.0996,0.00438,0,1,0,7,burn_then_protect,0
1,0.3,2,0.5,bridge,8,0.1724,1,0.9996,0,0,0,2,burn_then_protect,0
1,0.3,2,0.5,sbm,8,0.1392,1,0.9934,0,0,0,2,burn_then_protect,0
1,0.3,2,1.0,bridge,8,0.6633,1,1,0,0,0,0,burn_then_protect,0
1,0.3,2,1.0,sbm,8,0.6162,1,1,0,0,0,0,burn_then_protect,0
1,0.3,5,0.25,bridge,8,0.1116,1,0.9935,0,0,0,3,burn_then_protect,0
1,0.3,5,0.25,sbm,8,-0.0152,0.9783,0.3282,0,1,0,5,protect_only,0
1,0.3,5,0.5,bridge,8,0.3729,1,1,0,0,0,0,burn_then_protect,0
1,0.3,5,0.5,sbm,8,0.2582,1,1,0,0,0,1,burn_then_protect,0
1,0.3,5,1.0,bridge,8,0.7678,1,1,0,0,0,0,delay8,0
1,0.3,5,1.0,sbm,8,0.6594,1,1,0,0,0,0,burn_then_protect,0
1,0.3,8,0.25,bridge,8,0.2880,1,1,0,0,0,0,protect_only,0
1,0.3,8,0.25,sbm,8,0.0648,0.9998,0.8278,0,0,0,3,protect_only,0
1,0.3,8,0.5,bridge,8,0.5408,1,1,0,0,0,0,burn_then_protect,0
1,0.3,8,0.5,sbm,8,0.3235,1,1,0,0,0,1,protect_only,0
1,0.3,8,1.0,bridge,8,0.8608,1,1,0,0,0,0,delay8,0
1,0.3,8,1.0,sbm,8,0.6915,1,1,0,0,0,0,burn_then_protect,0
1,0.4,2,0.25,bridge,8,-0.0879,0.6221,0.1953,0,1,0,7,burn_then_protect,0
1,0.4,2,0.25,sbm,8,-0.1779,0.0156,9.388e-05,0,1,0,8,burn_then_protect,0
1,0.4,2,0.5,bridge,8,0.1995,1,0.9999,0,0,0,1,burn_then_protect,0
1,0.4,2,0.5,sbm,8,0.1024,1,0.9893,0,0,0,1,burn_then_protect,0
1,0.4,2,1.0,bridge,8,0.6928,1,1,0,0,0,0,burn_then_protect,0
1,0.4,2,1.0,sbm,8,0.5752,1,1,0,0,0,0,burn_then_protect,0
1,0.4,5,0.25,bridge,8,0.1366,1,0.9982,0,0,0,3,burn_then_protect,0
1,0.4,5,0.25,sbm,8,-0.0569,0.8779,0.08032,0,1,0,7,protect_only,0
1,0.4,5,0.5,bridge,8,0.4021,1,1,0,0,0,0,burn_then_protect,0
1,0.4,5,0.5,sbm,8,0.2014,1,0.9999,0,0,0,0,burn_then_protect,0
1,0.4,5,1.0,bridge,8,0.8133,1,1,0,0,0,0,delay8,0
1,0.4,5,1.0,sbm,8,0.6078,1,1,0,0,0,0,burn_then_protect,0
1,0.4,8,0.25,bridge,8,0.3139,1,1,0,0,0,0,protect_only,0
1,0.4,8,0.25,sbm,8,0.0229,0.9993,0.5343,0,1,0,6,protect_only,0
1,0.4,8,0.5,bridge,8,0.5765,1,1,0,0,0,0,burn_then_protect,0
1,0.4,8,0.5,sbm,8,0.2552,1,1,0,0,0,0,protect_only,0
1,0.4,8,1.0,bridge,8,0.8964,1,1,0,0,0,0,delay8,0
1,0.4,8,1.0,sbm,8,0.6212,1,1,0,0,0,0,burn_then_protect,0
2,0.1,2,0.25,bridge,8,0.3319,1,1,0,0,0,0,burn_then_protect,0
2,0.1,2,0.25,sbm,8,0.0600,0.9998,0.8803,0,1,0,5,burn_then_protect,0
2,0.1,2,0.5,bridge,8,0.5782,1,1,0,0,0,0,burn_then_protect,0
2,0.1,2,0.5,sbm,8,0.2719,1,0.9997,0,1,0,1,burn_then_protect,0
2,0.1,2,1.0,bridge,8,0.8381,1,1,0,0,0,0,delay8,0
2,0.1,2,1.0,sbm,8,0.5793,1,1,0,1,0,0,delay8,0
2,0.1,5,0.25,bridge,8,0.6106,1,1,0,0,0,0,protect_only,0
2,0.1,5,0.25,sbm,8,0.2025,1,0.9864,0,0,0,0,protect_only,0
2,0.1,5,0.5,bridge,8,0.8282,1,1,0,0,0,0,burn_then_protect,0
2,0.1,5,0.5,sbm,8,0.4549,1,1,0,0,0,0,burn_then_protect,0
2,0.1,5,1.0,bridge,8,0.9697,1,1,0,0,0,0,delay8,0
2,0.1,5,1.0,sbm,8,0.6951,1,1,0,1,0,0,delay8,0
2,0.1,8,0.25,bridge,8,0.7373,1,1,0,0,0,0,protect_only,0
2,0.1,8,0.25,sbm,8,0.2561,1,0.9966,0,0,0,0,protect_only,0
2,0.1,8,0.5,bridge,8,0.9655,1,1,0,0,0,0,delay8,0
2,0.1,8,0.5,sbm,8,0.5281,1,1,0,0,0,0,protect_only,0
2,0.1,8,1.0,bridge,8,1.0559,1,1,0,0,0,0,delay8,0
2,0.1,8,1.0,sbm,8,0.8005,1,1,0,1,0,0,delay8,0
2,0.2,2,0.25,bridge,8,0.3319,1,1,0,0,0,0,burn_then_protect,0
2,0.2,2,0.25,sbm,8,0.0843,1,0.8571,0,0,0,2,burn_then_protect,0
2,0.2,2,0.5,bridge,8,0.5782,1,1,0,0,0,0,burn_then_protect,0
2,0.2,2,0.5,sbm,8,0.3411,1,1,0,0,0,0,burn_then_protect,0
2,0.2,2,1.0,bridge,8,0.8381,1,1,0,0,0,0,delay8,0
2,0.2,2,1.0,sbm,8,0.7015,1,1,0,0,0,0,delay8,0
2,0.2,5,0.25,bridge,8,0.6106,1,1,0,0,0,0,protect_only,0
2,0.2,5,0.25,sbm,8,0.1851,1,0.992,0,0,0,1,protect_only,0
2,0.2,5,0.5,bridge,8,0.8282,1,1,0,0,0,0,burn_then_protect,0
2,0.2,5,0.5,sbm,8,0.4557,1,1,0,0,0,0,protect_only,0
2,0.2,5,1.0,bridge,8,0.9697,1,1,0,0,0,0,delay8,0
2,0.2,5,1.0,sbm,8,0.7804,1,1,0,0,0,0,delay8,0
2,0.2,8,0.25,bridge,8,0.7373,1,1,0,0,0,0,protect_only,0
2,0.2,8,0.25,sbm,8,0.2466,1,0.9986,0,0,0,1,protect_only,0
2,0.2,8,0.5,bridge,8,0.9655,1,1,0,0,0,0,delay8,0
2,0.2,8,0.5,sbm,8,0.4847,1,1,0,0,0,0,protect_only,0
2,0.2,8,1.0,bridge,8,1.0559,1,1,0,0,0,0,delay8,0
2,0.2,8,1.0,sbm,8,0.8094,1,1,0,0,0,0,delay8,0
2,0.3,2,0.25,bridge,8,0.3319,1,1,0,0,0,0,burn_then_protect,0
2,0.3,2,0.25,sbm,8,0.1255,1,0.9697,0,0,0,2,protect_only,0
2,0.3,2,0.5,bridge,8,0.5782,1,1,0,0,0,0,burn_then_protect,0
2,0.3,2,0.5,sbm,8,0.3697,1,1,0,0,0,0,burn_then_protect,0
2,0.3,2,1.0,bridge,8,0.8381,1,1,0,0,0,0,delay8,0
2,0.3,2,1.0,sbm,8,0.7246,1,1,0,0,0,0,burn_then_protect,0
2,0.3,5,0.25,bridge,8,0.6106,1,1,0,0,0,0,protect_only,0
2,0.3,5,0.25,sbm,8,0.2305,1,0.998,0,0,0,2,protect_only,0
2,0.3,5,0.5,bridge,8,0.8282,1,1,0,0,0,0,burn_then_protect,0
2,0.3,5,0.5,sbm,8,0.4480,1,1,0,0,0,0,protect_only,0
2,0.3,5,1.0,bridge,8,0.9697,1,1,0,0,0,0,delay8,0
2,0.3,5,1.0,sbm,8,0.7521,1,1,0,0,0,0,delay8,0
2,0.3,8,0.25,bridge,8,0.7373,1,1,0,0,0,0,protect_only,0
2,0.3,8,0.25,sbm,8,0.2859,1,0.9996,0,0,0,2,protect_only,0
2,0.3,8,0.5,bridge,8,0.9655,1,1,0,0,0,0,delay8,0
2,0.3,8,0.5,sbm,8,0.4677,1,1,0,0,0,0,protect_only,0
2,0.3,8,1.0,bridge,8,1.0559,1,1,0,0,0,0,delay8,0
2,0.3,8,1.0,sbm,8,0.7418,1,1,0,0,0,0,delay8,0
