cid,rho,mu,eta,kappa,topo,seed,optJ,naiJ,dJ,ci_hi,converged,bestlib,bestlib_tag,P,X,T,het_driven,inversion
rho0.5_mu0.05_eta16_kap0.25_artic_seed0,0.5,0.05,16,0.25,artic,0,10.958333333333334,45.233333333333334,-34.275,-0.7006341291798014,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed1,0.5,0.05,16,0.25,artic,1,17.533333333333335,56.733333333333334,-39.2,-0.5868676036956675,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed2,0.5,0.05,16,0.25,artic,2,16.766666666666666,42.825,-26.058333333333334,-0.44138505278985596,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed3,0.5,0.05,16,0.25,artic,3,14.15,58.141666666666666,-43.99166666666667,-0.6696272423141818,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed4,0.5,0.05,16,0.25,artic,4,15.25,38.46666666666667,-23.216666666666665,-0.4482516099966547,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed5,0.5,0.05,16,0.25,artic,5,11.783333333333333,43.166666666666664,-31.383333333333333,-0.6732587638928391,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed6,0.5,0.05,16,0.25,artic,6,21.875,46.708333333333336,-24.833333333333332,-0.3658583785878601,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_artic_seed7,0.5,0.05,16,0.25,artic,7,10.733333333333333,34.71666666666667,-23.983333333333334,-0.6111735489639393,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed0,0.5,0.05,16,0.25,bridge,0,57.725,52.141666666666666,5.583333333333333,0.4400745177805752,False,protect_only,X,1,1,0,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed1,0.5,0.05,16,0.25,bridge,1,45.225,37.166666666666664,8.058333333333334,0.5150428318844618,False,protect_only,X,1,1,0,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed2,0.5,0.05,16,0.25,bridge,2,55.5,39.34166666666667,16.158333333333335,0.8715104751223431,False,protect_only,X,1,1,0,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed3,0.5,0.05,16,0.25,bridge,3,43.18333333333333,43.791666666666664,-0.6083333333333333,0.2334293590411506,True,protect_only,X,1,1,0,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed4,0.5,0.05,16,0.25,bridge,4,34.733333333333334,33.025,1.7083333333333333,0.36601529089476065,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed5,0.5,0.05,16,0.25,bridge,5,38.61666666666667,30.841666666666665,7.775,0.606641387708748,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed6,0.5,0.05,16,0.25,bridge,6,36.99166666666667,38.375,-1.3833333333333333,0.2488266209273522,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_bridge_seed7,0.5,0.05,16,0.25,bridge,7,40.375,31.941666666666666,8.433333333333334,0.6351016365631897,False,protect_only,X,1,1,0,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed0,0.5,0.05,16,0.25,sbm,0,7.816666666666666,15.575,-7.758333333333334,-0.3118289865795261,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed1,0.5,0.05,16,0.25,sbm,1,16.516666666666666,26.575,-10.058333333333334,-0.169648766257231,True,burn_then_protect,P,1,1,1,1,1
rho0.5_mu0.05_eta16_kap0.25_sbm_seed2,0.5,0.05,16,0.25,sbm,2,19.216666666666665,31.025,-11.808333333333334,-0.1855897086231689,True,burn_then_protect,P,1,1,1,1,1
rho0.5_mu0.05_eta16_kap0.25_sbm_seed3,0.5,0.05,16,0.25,sbm,3,24.433333333333334,32.025,-7.591666666666667,0.012240692402802525,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed4,0.5,0.05,16,0.25,sbm,4,17.116666666666667,31.716666666666665,-14.6,-0.3563776176528317,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed5,0.5,0.05,16,0.25,sbm,5,8.65,23.9,-15.25,-0.5462775570174071,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed6,0.5,0.05,16,0.25,sbm,6,28.458333333333332,41.516666666666666,-13.058333333333334,-0.1042806226612111,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.25_sbm_seed7,0.5,0.05,16,0.25,sbm,7,7.641666666666667,22.225,-14.583333333333334,-0.5623878886388264,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed0,0.5,0.05,16,0.5,artic,0,11.375,45.3,-33.925,-0.6833225896947019,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed1,0.5,0.05,16,0.5,artic,1,19.5,56.791666666666664,-37.291666666666664,-0.532724363629317,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed2,0.5,0.05,16,0.5,artic,2,18.541666666666668,42.88333333333333,-24.341666666666665,-0.37063809790607843,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed3,0.5,0.05,16,0.5,artic,3,15.15,58.141666666666666,-42.99166666666667,-0.6405173277012814,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed4,0.5,0.05,16,0.5,artic,4,17.066666666666666,38.46666666666667,-21.4,-0.37092302686478473,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed5,0.5,0.05,16,0.5,artic,5,12.783333333333333,43.225,-30.441666666666666,-0.6385316937222781,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed6,0.5,0.05,16,0.5,artic,6,25.45,46.708333333333336,-21.258333333333333,-0.2553622400525233,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_artic_seed7,0.5,0.05,16,0.5,artic,7,11.275,34.71666666666667,-23.441666666666666,-0.587321407118878,True,burn_then_protect,P,1,0,1,0,0
