15120 cells | 32 cores | library-based (no RL) | out=results/
[50/15120] rho0.5_mu0.05_eta1_kap0.5_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-29.3  (9s, inv so far 0)
[100/15120] rho0.5_mu0.05_eta2_kap0.25_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=-31.8  (14s, inv so far 0)
[105/15120] rho0.5_mu0.05_eta2_kap0.5_sbm_seed6: INV=1 conv=1 best=burn_then_protect dJ=-14.8  (15s, inv so far 1)
[150/15120] rho0.5_mu0.05_eta2_kap1_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-36.2  (20s, inv so far 1)
[170/15120] rho0.5_mu0.05_eta5_kap0.5_sbm_seed3: INV=1 conv=1 best=burn_then_protect dJ=-9.3  (23s, inv so far 2)
[175/15120] rho0.5_mu0.05_eta5_kap0.5_sbm_seed6: INV=1 conv=1 best=burn_then_protect dJ=-13.0  (23s, inv so far 3)
[200/15120] rho0.5_mu0.05_eta5_kap0.5_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=-26.8  (26s, inv so far 3)
[250/15120] rho0.5_mu0.05_eta8_kap0.5_bridge_seed4: INV=0 conv=0 best=burn_then_protect dJ=+2.0  (32s, inv so far 3)
[279/15120] rho0.5_mu0.05_eta16_kap0.25_sbm_seed1: INV=1 conv=1 best=burn_then_protect dJ=-10.1  (35s, inv so far 4)
[286/15120] rho0.5_mu0.05_eta16_kap0.25_sbm_seed2: INV=1 conv=1 best=burn_then_protect dJ=-11.8  (36s, inv so far 5)
[300/15120] rho0.5_mu0.05_eta16_kap0.25_bridge_seed0: INV=0 conv=0 best=protect_only dJ=+5.6  (38s, inv so far 5)
[350/15120] rho0.5_mu0.05_eta16_kap1_bridge_seed3: INV=0 conv=0 best=delay8 dJ=+25.4  (44s, inv so far 5)
[400/15120] rho0.5_mu0.1_eta1_kap0.5_bridge_seed7: INV=0 conv=1 best=burn_then_protect dJ=-9.1  (50s, inv so far 5)
[433/15120] rho0.5_mu0.1_eta2_kap0.25_sbm_seed7: INV=1 conv=1 best=burn_then_protect dJ=-7.8  (55s, inv so far 6)
[450/15120] rho0.5_mu0.1_eta2_kap0.25_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-30.3  (57s, inv so far 6)
[500/15120] rho0.5_mu0.1_eta2_kap1_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-33.5  (64s, inv so far 6)
[550/15120] rho0.5_mu0.1_eta5_kap0.5_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-44.0  (70s, inv so far 6)
[600/15120] rho0.5_mu0.1_eta8_kap0.25_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-40.7  (76s, inv so far 6)
[650/15120] rho0.5_mu0.1_eta16_kap0.25_sbm_seed2: INV=0 conv=1 best=protect_only dJ=-8.2  (82s, inv so far 6)
[700/15120] rho0.5_mu0.1_eta16_kap0.5_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=-21.3  (89s, inv so far 6)
[750/15120] rho0.5_mu0.2_eta1_kap0.5_sbm_seed5: INV=0 conv=1 best=burn_then_protect dJ=+1.4  (96s, inv so far 6)
[800/15120] rho0.5_mu0.2_eta2_kap0.25_bridge_seed4: INV=0 conv=1 best=burn_then_protect dJ=-13.4  (102s, inv so far 6)
[850/15120] rho0.5_mu0.2_eta2_kap1_bridge_seed4: INV=0 conv=0 best=burn_then_protect dJ=+10.4  (109s, inv so far 6)
[856/15120] rho0.5_mu0.2_eta5_kap0.25_sbm_seed0: INV=1 conv=1 best=burn_then_protect dJ=-11.5  (110s, inv so far 7)
[900/15120] rho0.5_mu0.2_eta5_kap0.5_bridge_seed3: INV=0 conv=1 best=burn_then_protect dJ=-2.2  (115s, inv so far 7)
[950/15120] rho0.5_mu0.2_eta8_kap0.25_bridge_seed3: INV=0 conv=1 best=burn_then_protect dJ=-8.7  (122s, inv so far 7)
[1000/15120] rho0.5_mu0.2_eta16_kap0.25_sbm_seed0: INV=0 conv=1 best=protect_only dJ=-5.7  (129s, inv so far 7)
[1050/15120] rho0.5_mu0.2_eta16_kap0.5_artic_seed4: INV=0 conv=1 best=burn_then_protect dJ=-21.4  (136s, inv so far 7)
[1100/15120] rho0.5_mu0.3_eta1_kap0.25_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-33.7  (142s, inv so far 7)
[1150/15120] rho0.5_mu0.3_eta1_kap1_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-31.1  (149s, inv so far 7)
[1200/15120] rho0.5_mu0.3_eta2_kap0.5_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=-27.7  (156s, inv so far 7)
[1250/15120] rho0.5_mu0.3_eta5_kap0.25_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-40.9  (162s, inv so far 7)
[1300/15120] rho0.5_mu0.3_eta8_kap0.25_bridge_seed1: INV=0 conv=1 best=burn_then_protect dJ=-1.9  (169s, inv so far 7)
[1350/15120] rho0.5_mu0.3_eta8_kap1_sbm_seed0: INV=0 conv=0 best=burn_then_protect dJ=+30.7  (176s, inv so far 7)
[1400/15120] rho0.5_mu0.3_eta16_kap0.5_sbm_seed2: INV=0 conv=0 best=protect_only dJ=+11.3  (182s, inv so far 7)
[1450/15120] rho0.5_mu0.4_eta1_kap0.25_sbm_seed1: INV=0 conv=1 best=burn_then_protect dJ=-22.4  (189s, inv so far 7)
[1500/15120] rho0.5_mu0.4_eta1_kap1_bridge_seed6: INV=0 conv=0 best=burn_then_protect dJ=+14.1  (196s, inv so far 7)
[1550/15120] rho0.5_mu0.4_eta2_kap0.5_bridge_seed6: INV=0 conv=1 best=burn_then_protect dJ=-4.1  (203s, inv so far 7)
[1600/15120] rho0.5_mu0.4_eta5_kap0.25_bridge_seed3: INV=0 conv=1 best=burn_then_protect dJ=-10.7  (210s, inv so far 7)
[1650/15120] rho0.5_mu0.4_eta5_kap1_artic_seed2: INV=0 conv=1 best=burn_then_protect dJ=-20.2  (218s, inv so far 7)
[1700/15120] rho0.5_mu0.4_eta8_kap0.5_artic_seed7: INV=0 conv=1 best=burn_then_protect dJ=-23.3  (225s, inv so far 7)
[1750/15120] rho0.5_mu0.4_eta16_kap0.25_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-37.4  (232s, inv so far 7)
[1800/15120] rho0.5_mu0.4_eta16_kap1_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-22.8  (239s, inv so far 7)
[1850/15120] rho0.5_mu0.5_eta1_kap1_sbm_seed1: INV=0 conv=0 best=burn_then_protect dJ=+30.2  (246s, inv so far 7)
[1900/15120] rho0.5_mu0.5_eta2_kap0.5_sbm_seed6: INV=0 conv=1 best=burn_then_protect dJ=+0.7  (254s, inv so far 7)
[1950/15120] rho0.5_mu0.5_eta5_kap0.25_bridge_seed1: INV=0 conv=1 best=burn_then_protect dJ=-4.3  (261s, inv so far 7)
[2000/15120] rho0.5_mu0.5_eta5_kap1_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+34.2  (268s, inv so far 7)
[2050/15120] rho0.5_mu0.5_eta8_kap0.5_sbm_seed4: INV=0 conv=0 best=burn_then_protect dJ=+6.1  (275s, inv so far 7)
[2100/15120] rho0.5_mu0.5_eta16_kap0.25_sbm_seed7: INV=0 conv=1 best=protect_only dJ=-13.8  (282s, inv so far 7)
[2150/15120] rho0.5_mu0.5_eta16_kap1_bridge_seed4: INV=0 conv=0 best=delay8 dJ=+29.8  (289s, inv so far 7)
[2200/15120] rho1_mu0.05_eta1_kap0.5_bridge_seed7: INV=0 conv=0 best=burn_then_protect dJ=+4.9  (295s, inv so far 7)
[2250/15120] rho1_mu0.05_eta2_kap0.25_bridge_seed2: INV=0 conv=1 best=burn_then_protect dJ=+1.2  (301s, inv so far 7)
[2300/15120] rho1_mu0.05_eta2_kap1_artic_seed4: INV=0 conv=1 best=burn_then_protect dJ=-15.1  (307s, inv so far 7)
[2301/15120] rho1_mu0.05_eta5_kap0.25_sbm_seed2: INV=1 conv=1 best=burn_then_protect dJ=-11.2  (308s, inv so far 8)
[2350/15120] rho1_mu0.05_eta5_kap1_sbm_seed2: INV=0 conv=0 best=burn_then_protect dJ=+4.2  (314s, inv so far 8)
[2400/15120] rho1_mu0.05_eta8_kap0.25_artic_seed7: INV=0 conv=1 best=burn_then_protect dJ=-16.7  (320s, inv so far 8)
[2450/15120] rho1_mu0.05_eta8_kap1_artic_seed7: INV=0 conv=1 best=burn_then_protect dJ=-15.1  (326s, inv so far 8)
[2500/15120] rho1_mu0.05_eta16_kap1_sbm_seed5: INV=0 conv=1 best=burn_then_protect dJ=-12.9  (331s, inv so far 8)
[2550/15120] rho1_mu0.1_eta1_kap0.5_sbm_seed5: INV=0 conv=1 best=burn_then_protect dJ=-9.4  (338s, inv so far 8)
[2600/15120] rho1_mu0.1_eta2_kap0.25_bridge_seed1: INV=0 conv=1 best=burn_then_protect dJ=-0.8  (344s, inv so far 8)
[2650/15120] rho1_mu0.1_eta2_kap1_sbm_seed6: INV=0 conv=0 best=burn_then_protect dJ=+26.7  (351s, inv so far 8)
[2700/15120] rho1_mu0.1_eta5_kap0.5_bridge_seed0: INV=0 conv=0 best=burn_then_protect dJ=+15.5  (357s, inv so far 8)
[2750/15120] rho1_mu0.1_eta8_kap0.25_bridge_seed3: INV=0 conv=0 best=protect_only dJ=+4.9  (364s, inv so far 8)
[2800/15120] rho1_mu0.1_eta8_kap1_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+39.4  (370s, inv so far 8)
[2850/15120] rho1_mu0.1_eta16_kap0.5_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-19.3  (377s, inv so far 8)
[2900/15120] rho1_mu0.2_eta1_kap0.25_artic_seed2: INV=0 conv=1 best=burn_then_protect dJ=-23.1  (383s, inv so far 8)
[2950/15120] rho1_mu0.2_eta1_kap1_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-36.8  (390s, inv so far 8)
[3000/15120] rho1_mu0.2_eta2_kap0.5_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-33.6  (396s, inv so far 8)
[3050/15120] rho1_mu0.2_eta5_kap0.25_artic_seed7: INV=0 conv=1 best=burn_then_protect dJ=-17.1  (403s, inv so far 8)
[3100/15120] rho1_mu0.2_eta8_kap0.25_sbm_seed4: INV=0 conv=1 best=protect_only dJ=+1.5  (409s, inv so far 8)
[3150/15120] rho1_mu0.2_eta8_kap1_sbm_seed6: INV=0 conv=0 best=delay8 dJ=+35.6  (416s, inv so far 8)
[3200/15120] rho1_mu0.2_eta16_kap0.5_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+45.2  (423s, inv so far 8)
[3250/15120] rho1_mu0.3_eta1_kap0.25_bridge_seed0: INV=0 conv=1 best=burn_then_protect dJ=-7.7  (429s, inv so far 8)
[3300/15120] rho1_mu0.3_eta1_kap1_bridge_seed2: INV=0 conv=0 best=burn_then_protect dJ=+34.8  (436s, inv so far 8)
[3350/15120] rho1_mu0.3_eta2_kap0.5_bridge_seed5: INV=0 conv=0 best=burn_then_protect dJ=+5.7  (442s, inv so far 8)
[3400/15120] rho1_mu0.3_eta5_kap0.25_bridge_seed7: INV=0 conv=0 best=burn_then_protect dJ=+7.0  (449s, inv so far 8)
[3450/15120] rho1_mu0.3_eta5_kap1_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-20.0  (456s, inv so far 8)
[3500/15120] rho1_mu0.3_eta8_kap0.5_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-32.2  (463s, inv so far 8)
[3550/15120] rho1_mu0.3_eta16_kap0.25_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-31.1  (470s, inv so far 8)
[3600/15120] rho1_mu0.3_eta16_kap1_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=+1.9  (477s, inv so far 8)
